;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGUAS DE SANTA BARBARA; AGUAS DE SANTA BARBARA ;2017; 4 ; MASCULINO ; TARDE ; COLISAO ; AUTOMOVEL ; 55-59 ; -22.910082 ; -49.252564 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMERICANA; AMERICANA ;2017; 4 ; FEMININO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 25-29 ; -22.731435 ; -47.305506 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMERICANA; AMERICANA ;2017; 4 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 25-29 ; -22.7523347620857 ; -47.3483730999714 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMERICANA; AMERICANA ;2017; 4 ; MASCULINO ; MADRUGADA ; OUTROS ; BICICLETA ; 40-44 ; -22.728274848 ; -47.291845679 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMERICANA; AMERICANA ;2017; 4 ; MASCULINO ; MANHÃ ; COLISAO ; BICICLETA ; 75-79 ; -22.729647 ; -47.326198 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMERICANA; AMERICANA ;2017; 4 ; MASCULINO ; MANHÃ ; COLISAO ; MOTOCICLETA ; 18-24 ; -22.765419 ; -47.32803 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMERICANA; AMERICANA ;2017; 4 ; MASCULINO ; MANHÃ ; OUTROS ; BICICLETA ; 60-64 ; NAO DISPONIVEL ; NAO DISPONIVEL ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMERICANA; AMERICANA ;2017; 4 ; MASCULINO ; NAO DISPONIVEL ; CHOQUE ; MOTOCICLETA ; 35-39 ; -22.764469 ; -47.330299 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMPARO; AMPARO ;2017; 4 ; MASCULINO ; MANHÃ ; CHOQUE ; AUTOMOVEL ; 35-39 ; -22.7627686557242 ; -46.75539503936 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMPARO; AMPARO ;2017; 4 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 18-24 ; -22.7107068660931 ; -46.8313587081592 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDRADINA; ANDRADINA ;2017; 4 ; MASCULINO ; NOITE ; CHOQUE ; AUTOMOVEL ; 30-34 ; -20.8719626076278 ; -51.3974103627958 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDRADINA; ANDRADINA ;2017; 4 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 18-24 ; -20.916745 ; -51.373667 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
APARECIDA; APARECIDA ;2017; 4 ; FEMININO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; -22.846933 ; -45.231709 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
APARECIDA; APARECIDA ;2017; 4 ; MASCULINO ; TARDE ; COLISAO ; AUTOMOVEL ; 50-54 ; -22.860361 ; -45.234876 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARACARIGUAMA; ARACARIGUAMA ;2017; 4 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 40-44 ; -23.4377586616835 ; -47.1165670931708 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARACARIGUAMA; ARACARIGUAMA ;2017; 4 ; MASCULINO ; TARDE ; COLISAO ; CAMINHAO ; 55-59 ; -23.4377586616835 ; -47.1165670931708 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARACATUBA; ARACATUBA ;2017; 4 ; MASCULINO ; MANHÃ ; OUTROS ; AUTOMOVEL ; 18-24 ; -21.164099 ; -50.415468 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARACATUBA; ARACATUBA ;2017; 4 ; MASCULINO ; NOITE ; COLISAO ; BICICLETA ; 40-44 ; -21.298788 ; -50.488892 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARACATUBA; ARACATUBA ;2017; 4 ; MASCULINO ; NOITE ; OUTROS ; AUTOMOVEL ; 0-17 ; -21.1472374402669 ; -50.4605019825862 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARAMINA; ARAMINA ;2017; 4 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 35-39 ; -20.1044938369854 ; -47.7904072340392 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARAMINA; ARAMINA ;2017; 4 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 40-44 ; -20.1044938369854 ; -47.7904072340392 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARAMINA; ARAMINA ;2017; 4 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; -20.1044938369854 ; -47.7904072340392 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARARAQUARA; ARARAQUARA ;2017; 4 ; FEMININO ; MANHÃ ; COLISAO ; MOTOCICLETA ; 50-54 ; -21.76262 ; -48.173521 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARARAS; ARARAS ;2017; 4 ; MASCULINO ; MADRUGADA ; COLISAO ; BICICLETA ; NAO DISPONIVEL ; -22.3541733156528 ; -47.3947423774558 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARARAS; ARARAS ;2017; 4 ; MASCULINO ; NOITE ; CHOQUE ; AUTOMOVEL ; 50-54 ; -22.364456 ; -47.378717 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARUJA; ARUJA ;2017; 4 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; NAO DISPONIVEL ; -23.3988784808917 ; -46.2996514174688 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARUJA; ARUJA ;2017; 4 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 30-34 ; -23.399446 ; -46.341694 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ASSIS; ASSIS ;2017; 4 ; MASCULINO ; MADRUGADA ; COLISAO ; MOTOCICLETA ; 0-17 ; -22.661579 ; -50.41664 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ATIBAIA; ATIBAIA ;2017; 4 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; -23.0712626832333 ; -46.56750719892 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AVANHANDAVA; AVANHANDAVA ;2017; 4 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 0-17 ; -21.5615466904876 ; -49.9403487224182 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BADY BASSITT; BADY BASSITT ;2017; 4 ; MASCULINO ; NAO DISPONIVEL ; CHOQUE ; MOTOCICLETA ; 35-39 ; -20.884166 ; -49.437827 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARRA DO TURVO; BARRA DO TURVO ;2017; 4 ; MASCULINO ; TARDE ; CHOQUE ; AUTOMOVEL ; 0-17 ; -24.763116 ; -48.50275 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARRA DO TURVO; BARRA DO TURVO ;2017; 4 ; MASCULINO ; TARDE ; CHOQUE ; AUTOMOVEL ; 18-24 ; -24.763116 ; -48.50275 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARRETOS; BARRETOS ;2017; 4 ; MASCULINO ; NAO DISPONIVEL ; NAO DISPONIVEL ; NAO DISPONIVEL ; 18-24 ; NAO DISPONIVEL ; NAO DISPONIVEL ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARRETOS; BARRETOS ;2017; 4 ; MASCULINO ; NOITE ; CHOQUE ; MOTOCICLETA ; 18-24 ; -20.6083203261531 ; -48.7463277531848 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARRETOS; BARRETOS ;2017; 4 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 30-34 ; -20.5173517157812 ; -48.6019610633858 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARUERI; BARUERI ;2017; 4 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -23.506034 ; -46.875851 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BATATAIS; BATATAIS ;2017; 4 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 18-24 ; -20.9191362957123 ; -47.6231017495656 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
