;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aguai; Aguai ;2016; 8 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 55-59 ; -22.027229 ; -46.888793 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aguas de Sao Pedro; Aguas de Sao Pedro ;2016; 8 ; MASCULINO ; MADRUGADA ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 25-29 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alvares Machado; Alvares Machado ;2016; 8 ; MASCULINO ; NOITE ; OUTROS ; BICICLETA ; 65-69 ; -22.080655 ; -51.472495 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Americana; Americana ;2016; 8 ; MASCULINO ; NOITE ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 25-29 ; -22.715757 ; -47.350602 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Americana; Americana ;2016; 8 ; MASCULINO ; TARDE ; CHOQUE ; MOTOCICLETA ; 40-44 ; -22.7545644607022 ; -47.2678405644209 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amparo; Amparo ;2016; 8 ; MASCULINO ; MANHÃ ; COLISÃO ; CAMINHÃO ; 30-34 ; -22.5611789581495 ; -46.7996392113826 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amparo; Amparo ;2016; 8 ; MASCULINO ; MANHÃ ; COLISÃO ; CAMINHÃO ; 35-39 ; -22.561176 ; -46.799691 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angatuba; Angatuba ;2016; 8 ; MASCULINO ; NOITE ; NÃO DISPONÍVEL ; MOTOCICLETA ; 35-39 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aracariguama; Aracariguama ;2016; 8 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; Não Disponível ; -23.443143 ; -47.108372 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aracatuba; Aracatuba ;2016; 8 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; MOTOCICLETA ; 30-34 ; -21.1997854829194 ; -50.4710032482603 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aracatuba; Aracatuba ;2016; 8 ; MASCULINO ; MANHÃ ; COLISÃO ; BICICLETA ; 60-64 ; -21.226124 ; -50.457062 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aracatuba; Aracatuba ;2016; 8 ; MASCULINO ; MANHÃ ; OUTROS ; PEDESTRE ; 40-44 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aracatuba; Aracatuba ;2016; 8 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 50-54 ; -21.224113 ; -50.458049 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aracoiaba da Serra; Aracoiaba da Serra ;2016; 8 ; FEMININO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 30-34 ; -23.513695 ; -47.574724 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aracoiaba da Serra; Aracoiaba da Serra ;2016; 8 ; MASCULINO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 25-29 ; -23.53090770659 ; -47.6293710334254 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aracoiaba da Serra; Aracoiaba da Serra ;2016; 8 ; MASCULINO ; NOITE ; OUTROS ; MOTOCICLETA ; 25-29 ; -23.5095528882051 ; -47.5597680561099 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araraquara; Araraquara ;2016; 8 ; FEMININO ; NÃO DISPONÍVEL ; COLISÃO ; AUTOMÓVEL ; 50-54 ; -21.679192 ; -48.238784 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araraquara; Araraquara ;2016; 8 ; FEMININO ; NÃO DISPONÍVEL ; COLISÃO ; AUTOMÓVEL ; 80 ou mais ; -21.679192 ; -48.238784 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araraquara; Araraquara ;2016; 8 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 18-24 ; -21.817113 ; -48.195739 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araraquara; Araraquara ;2016; 8 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 18-24 ; -21.792448 ; -48.130650 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araraquara; Araraquara ;2016; 8 ; MASCULINO ; NÃO DISPONÍVEL ; COLISÃO ; AUTOMÓVEL ; 18-24 ; -21.679192 ; -48.238784 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araras; Araras ;2016; 8 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 50-54 ; -22.2749973417346 ; -47.3920705548702 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araras; Araras ;2016; 8 ; MASCULINO ; TARDE ; CHOQUE ; MOTOCICLETA ; 18-24 ; -22.3899 ; -47.3934 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araras; Araras ;2016; 8 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 25-29 ; -22.3804342366667 ; -47.4168710353564 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ariranha; Ariranha ;2016; 8 ; FEMININO ; MANHÃ ; CHOQUE ; NÃO DISPONÍVEL ; 40-44 ; -21.146321 ; -48.750563 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aruja; Aruja ;2016; 8 ; MASCULINO ; NOITE ; CHOQUE ; AUTOMÓVEL ; 70-74 ; -23.384164 ; -46.328243 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atibaia; Atibaia ;2016; 8 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; -23.1006399229619 ; -46.6062042504624 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atibaia; Atibaia ;2016; 8 ; MASCULINO ; TARDE ; OUTROS ; AUTOMÓVEL ; 65-69 ; -23.063423 ; -46.570762 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bady Bassitt; Bady Bassitt ;2016; 8 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 18-24 ; -20.930811 ; -49.454539 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Balsamo; Balsamo ;2016; 8 ; MASCULINO ; TARDE ; CHOQUE ; MOTOCICLETA ; 50-54 ; -20.650586 ; -49.619483 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bananal; Bananal ;2016; 8 ; FEMININO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 40-44 ; -22.670229972294 ; -44.1963774972256 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barra Bonita; Barra Bonita ;2016; 8 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 45-49 ; -22.486722 ; -48.542167 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barretos; Barretos ;2016; 8 ; FEMININO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 18-24 ; -20.555943 ; -48.567499 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barretos; Barretos ;2016; 8 ; NÃO DISPONÍVEL ; MANHÃ ; NÃO DISPONÍVEL ; MOTOCICLETA ; Não Disponível ; -20.533834 ; -48.625621 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barueri; Barueri ;2016; 8 ; FEMININO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 0-17 ; -23.5161246207135 ; -46.8973907794742 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barueri; Barueri ;2016; 8 ; MASCULINO ; MANHÃ ; OUTROS ; BICICLETA ; 40-44 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barueri; Barueri ;2016; 8 ; MASCULINO ; NOITE ; OUTROS ; MOTOCICLETA ; 18-24 ; -23.528938 ; -46.888192 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barueri; Barueri ;2016; 8 ; MASCULINO ; TARDE ; COLISÃO ; CAMINHÃO ; 35-39 ; -23.509920 ; -46.815209 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Batatais; Batatais ;2016; 8 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; -20.9191362957123 ; -47.6231017495656 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 8 ; FEMININO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; -22.320014 ; -49.068525 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 8 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; Não Disponível ; -22.3409528211965 ; -49.0220132758434 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 8 ; MASCULINO ; NOITE ; ATROPELAMENTO ; MOTOCICLETA ; 50-54 ; -22.3199926025249 ; -49.003523237195 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 8 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 30-34 ; -22.320680 ; -49.040269 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 8 ; MASCULINO ; TARDE ; OUTROS ; MOTOCICLETA ; 45-49 ; -22.325640 ; -49.019341 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bebedouro; Bebedouro ;2016; 8 ; MASCULINO ; NOITE ; CHOQUE ; MOTOCICLETA ; 18-24 ; -20.9606 ; -48.468136 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bertioga; Bertioga ;2016; 8 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 18-24 ; -23.8142398910917 ; -46.1095470451437 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
