;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aguai; Aguai ;2016; 12 ; FEMININO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 75-79 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aguai; Aguai ;2016; 12 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 25-29 ; -22.0718932128236 ; -46.9806802303214 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aguai; Aguai ;2016; 12 ; MASCULINO ; MADRUGADA ; CHOQUE ; AUTOMÓVEL ; 55-59 ; -22.0700309517781 ; -47.0205842999095 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altinopolis; Altinopolis ;2016; 12 ; MASCULINO ; TARDE ; COLISÃO ; AUTOMÓVEL ; 45-49 ; -21.099888 ; -47.518064 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alvares Machado; Alvares Machado ;2016; 12 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 30-34 ; -22.0825409608623 ; -51.4512649556452 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Americana; Americana ;2016; 12 ; MASCULINO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; 18-24 ; -22.731705 ; -47.306719 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Americana; Americana ;2016; 12 ; MASCULINO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 45-49 ; -22.734138 ; -47.331921 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Americana; Americana ;2016; 12 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 25-29 ; -22.738734 ; -47.314535 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amparo; Amparo ;2016; 12 ; FEMININO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 70-74 ; -22.699784 ; -46.769663 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amparo; Amparo ;2016; 12 ; FEMININO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 35-39 ; -22.7113744914458 ; -46.8253508010915 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amparo; Amparo ;2016; 12 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 40-44 ; -22.7113744914458 ; -46.8253508010915 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angatuba; Angatuba ;2016; 12 ; MASCULINO ; TARDE ; CHOQUE ; AUTOMÓVEL ; 18-24 ; -23.488161 ; -48.414204 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aparecida D'Oeste; Aparecida D'Oeste ;2016; 12 ; MASCULINO ; Não Disponível ; OUTROS ; MOTOCICLETA ; 18-24 ; -20.4584738464724 ; -50.8678935474135 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aracatuba; Aracatuba ;2016; 12 ; FEMININO ; TARDE ; COLISÃO ; MOTOCICLETA ; 40-44 ; -21.158238 ; -50.451139 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
