;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aguas de Lindoia; Aguas de Lindoia ;2017; 1 ; MASCULINO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 35-39 ; -22.478553 ; -46.635755 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aguas de Lindoia; Aguas de Lindoia ;2017; 1 ; MASCULINO ; Não Disponível ; COLISÃO ; AUTOMÓVEL ; 18-24 ; -22.4610541928063 ; -46.592167512743 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alvares Machado; Alvares Machado ;2017; 1 ; MASCULINO ; Não Disponível ; ATROPELAMENTO ; PEDESTRE ; 75-79 ; -22.072623 ; -51.499193 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Americana; Americana ;2017; 1 ; FEMININO ; TARDE ; COLISÃO ; MOTOCICLETA ; 40-44 ; -22.7585390704091 ; -47.3156216460791 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amparo; Amparo ;2017; 1 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 30-34 ; -22.6368014475472 ; -46.8027202129382 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amparo; Amparo ;2017; 1 ; MASCULINO ; TARDE ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 70-74 ; -22.721048277 ; -46.7852235349999 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andradina; Andradina ;2017; 1 ; MASCULINO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; 18-24 ; -20.8651098769787 ; -51.4158362236357 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aracariguama; Aracariguama ;2017; 1 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 40-44 ; -23.4368590223836 ; -47.0969492099777 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aracatuba; Aracatuba ;2017; 1 ; FEMININO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 55-59 ; -21.1995572154174 ; -50.5681113685963 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araraquara; Araraquara ;2017; 1 ; MASCULINO ; NOITE ; CHOQUE ; MOTOCICLETA ; 30-34 ; -21.752965 ; -48.182054 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
