;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGUDOS; AGUDOS ;2017; 3 ; FEMININO ; NOITE ; OUTROS ; MOTOCICLETA ; 18-24 ; -22.415350483 ; -49.005161188 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALTINOPOLIS; ALTINOPOLIS ;2017; 3 ; MASCULINO ; NOITE ; OUTROS ; MOTOCICLETA ; 35-39 ; -21.13371519 ; -47.565821236 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMERICANA; AMERICANA ;2017; 3 ; FEMININO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; -22.704460 ; -47.293229 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMERICANA; AMERICANA ;2017; 3 ; MASCULINO ; MANHA ; COLISAO ; CAMINHAO ; 45-49 ; -22.7585390704091 ; -47.3156216460791 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMERICANA; AMERICANA ;2017; 3 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 50-54 ; -22.774802 ; -47.345654 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMPARO; AMPARO ;2017; 3 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 40-44 ; -22.691851254 ; -46.725560845 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMPARO; AMPARO ;2017; 3 ; MASCULINO ; TARDE ; OUTROS ; MOTOCICLETA ; 30-34 ; -22.7113744914458 ; -46.8253508010915 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANALANDIA; ANALANDIA ;2017; 3 ; MASCULINO ; MANHA ; CHOQUE ; MOTOCICLETA ; 35-39 ; -22.1348196167467 ; -47.6568414688384 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDRADINA; ANDRADINA ;2017; 3 ; MASCULINO ; MADRUGADA ; COLISAO ; BICICLETA ; 18-24 ; -20.8755122554384 ; -51.3882495994984 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDRADINA; ANDRADINA ;2017; 3 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 18-24 ; -20.8789489145857 ; -51.3790399857885 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARACATUBA; ARACATUBA ;2017; 3 ; MASCULINO ; MADRUGADA ; COLISAO ; MOTOCICLETA ; 18-24 ; -21.175026 ; -50.443756 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
