;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Americana; Americana ;2016; 9 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; -22.734268 ; -47.286394 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Americana; Americana ;2016; 9 ; MASCULINO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 60-64 ; -22.7671691859999 ; -47.3433302829999 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angatuba; Angatuba ;2016; 9 ; MASCULINO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; 18-24 ; -23.508165979 ; -48.404110827 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aparecida; Aparecida ;2016; 9 ; MASCULINO ; MADRUGADA ; NÃO DISPONÍVEL ; MOTOCICLETA ; 18-24 ; -22.837981 ; -45.223815 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apiai; Apiai ;2016; 9 ; MASCULINO ; NOITE ; CHOQUE ; MOTOCICLETA ; 18-24 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aracatuba; Aracatuba ;2016; 9 ; MASCULINO ; MANHÃ ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 35-39 ; -21.214678 ; -50.405710 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aracatuba; Aracatuba ;2016; 9 ; MASCULINO ; NOITE ; OUTROS ; BICICLETA ; 40-44 ; -21.167705 ; -50.472578 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araraquara; Araraquara ;2016; 9 ; MASCULINO ; MANHÃ ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 30-34 ; -21.789831 ; -48.179248 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araraquara; Araraquara ;2016; 9 ; MASCULINO ; NÃO DISPONÍVEL ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; -21.788126 ; -48.172408 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araras; Araras ;2016; 9 ; MASCULINO ; MADRUGADA ; CHOQUE ; AUTOMÓVEL ; 45-49 ; -22.359326 ; -47.354215 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araras; Araras ;2016; 9 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; Não Disponível ; -22.389900000 ; -47.393400000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araras; Araras ;2016; 9 ; MASCULINO ; NOITE ; CHOQUE ; MOTOCICLETA ; 18-24 ; -22.356535 ; -47.358481 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Artur Nogueira; Artur Nogueira ;2016; 9 ; MASCULINO ; MANHÃ ; CHOQUE ; AUTOMÓVEL ; 25-29 ; -22.5593275090711 ; -47.172272101323 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Artur Nogueira; Artur Nogueira ;2016; 9 ; MASCULINO ; TARDE ; OUTROS ; OUTROS ; 0-17 ; -22.604952 ; -47.126530 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aruja; Aruja ;2016; 9 ; MASCULINO ; TARDE ; COLISÃO ; NÃO DISPONÍVEL ; 60-64 ; -23.416685 ; -46.359198 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atibaia; Atibaia ;2016; 9 ; MASCULINO ; NÃO DISPONÍVEL ; CHOQUE ; AUTOMÓVEL ; 35-39 ; -23.114807 ; -46.586828 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atibaia; Atibaia ;2016; 9 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; Não Disponível ; -23.0337871459215 ; -46.5437917146533 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Avare; Avare ;2016; 9 ; NÃO DISPONÍVEL ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 35-39 ; -23.115723008 ; -48.940260318 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barbosa; Barbosa ;2016; 9 ; MASCULINO ; TARDE ; COLISÃO ; AUTOMÓVEL ; 75-79 ; -21.2759393512612 ; -49.9760608625617 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barretos; Barretos ;2016; 9 ; MASCULINO ; NÃO DISPONÍVEL ; COLISÃO ; MOTOCICLETA ; 45-49 ; -20.560018 ; -48.576216 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barueri; Barueri ;2016; 9 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; Não Disponível ; -23.506450 ; -46.859680 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barueri; Barueri ;2016; 9 ; MASCULINO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 25-29 ; -23.488873 ; -46.881572 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barueri; Barueri ;2016; 9 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 60-64 ; -23.5069887175836 ; -46.8378643404844 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 9 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 25-29 ; -22.268385 ; -49.061705 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 9 ; MASCULINO ; MANHÃ ; CHOQUE ; AUTOMÓVEL ; 25-29 ; -22.3890116245905 ; -49.0230815008711 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 9 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 55-59 ; -22.338061 ; -49.104677 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bebedouro; Bebedouro ;2016; 9 ; MASCULINO ; MADRUGADA ; COLISÃO ; CAMINHÃO ; 25-29 ; -20.813314807364 ; -48.4913840467964 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bertioga; Bertioga ;2016; 9 ; FEMININO ; NOITE ; COLISÃO ; BICICLETA ; 35-39 ; -23.79765494001 ; -46.0619615537202 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bertioga; Bertioga ;2016; 9 ; MASCULINO ; MANHÃ ; COLISÃO ; NÃO DISPONÍVEL ; 45-49 ; -23.752476 ; -45.863572 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bertioga; Bertioga ;2016; 9 ; MASCULINO ; NÃO DISPONÍVEL ; COLISÃO ; MOTOCICLETA ; 45-49 ; -23.7522780924623 ; -45.8974447500045 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Birigui; Birigui ;2016; 9 ; MASCULINO ; MADRUGADA ; COLISÃO ; BICICLETA ; 18-24 ; -21.301411715 ; -50.367664078 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biritiba Mirim; Biritiba Mirim ;2016; 9 ; MASCULINO ; NÃO DISPONÍVEL ; OUTROS ; BICICLETA ; 40-44 ; -23.510382 ; -46.194781 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boa Esperanca do Sul; Boa Esperanca do Sul ;2016; 9 ; FEMININO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 50-54 ; -21.928093787 ; -48.373241203 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boa Esperanca do Sul; Boa Esperanca do Sul ;2016; 9 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 40-44 ; -21.928093787 ; -48.373241203 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botucatu; Botucatu ;2016; 9 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 30-34 ; -22.9253470973802 ; -48.4264335865561 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Braganca Paulista; Braganca Paulista ;2016; 9 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 25-29 ; -22.909864060 ; -46.480600637 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Buri; Buri ;2016; 9 ; FEMININO ; MANHÃ ; CHOQUE ; AUTOMÓVEL ; 18-24 ; -23.9194688 ; -48.418498 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Buri; Buri ;2016; 9 ; FEMININO ; MANHÃ ; CHOQUE ; AUTOMÓVEL ; 30-34 ; -23.9194688 ; -48.418498 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cacapava; Cacapava ;2016; 9 ; MASCULINO ; MADRUGADA ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 25-29 ; -23.120468 ; -45.712236 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cachoeira Paulista; Cachoeira Paulista ;2016; 9 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 0-17 ; -22.668726 ; -45.005384 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cajamar; Cajamar ;2016; 9 ; MASCULINO ; MANHÃ ; OUTROS ; MOTOCICLETA ; 50-54 ; -23.302329760 ; -46.856716275 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJURU; CAJURU ;2016; 9 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 30-34 ; -21.3710819876555 ; -47.229717934567 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 9 ; FEMININO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 75-79 ; -22.854032 ; -47.028969 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 9 ; FEMININO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 18-24 ; -22.936938 ; -47.160317 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 9 ; FEMININO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -22.930622 ; -47.036964 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 9 ; FEMININO ; NOITE ; COLISÃO ; MOTOCICLETA ; 30-34 ; -22.938643 ; -47.155369 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 9 ; MASCULINO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; -22.975923 ; -47.140632 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 9 ; MASCULINO ; MANHÃ ; COLISÃO ; AUTOMÓVEL ; 60-64 ; -22.964643 ; -47.134144 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 9 ; MASCULINO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 45-49 ; -23.023653 ; -47.121465 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
