MunAcidente,Ano,Mes,Sexo,Periodo,TipAcidente,Modal,FaixaEt,Latitude,Longitude
Aguai,2016.0,8.0,Masculino,Noite,Colisao,Automovel,55-59,-46.888793,-46.888793
Aguai,2016.0,12.0,Masculino,Madrugada,Choque,Automovel,55-59,-47.020584299909494,-47.020584299909494
Aguai,2017.0,2.0,Feminino,Tarde,Colisao,Motocicleta,25-29,-46.978894,-46.978894
Aguai,2016.0,12.0,Masculino,Madrugada,Atropelamento,Pedestre,25-29,-46.9806802303214,-46.9806802303214
Aguai,2016.0,12.0,Feminino,Noite,Atropelamento,Pedestre,75-79,,
Aguas Da Prata,2016.0,11.0,Masculino,Noite,Outros,Motocicleta,18-24,-46.685739497,-46.685739497
Aguas De Lindoia,2017.0,1.0,Masculino,ND,Colisao,Automovel,18-24,-46.592167512742996,-46.592167512742996
Aguas De Lindoia,2017.0,1.0,Masculino,Manha,Colisao,Motocicleta,35-39,-46.635754999999996,-46.635754999999996
Aguas De Santa Barbara,2017.0,4.0,Masculino,Tarde,Colisao,Automovel,55-59,-49.252564,-49.252564
Aguas De Sao Pedro,2016.0,8.0,Masculino,Madrugada,ND,ND,25-29,,
Agudos,2016.0,10.0,Masculino,Madrugada,Colisao,Automovel,30-34,-49.0013756010528,-49.0013756010528
Agudos,2017.0,3.0,Feminino,Noite,Outros,Motocicleta,18-24,-49.005161188,-49.005161188
Alambari,2016.0,10.0,Masculino,Madrugada,Colisao,Automovel,40-44,-47.829344,-47.829344
Altinopolis,2017.0,3.0,Masculino,Noite,Outros,Motocicleta,35-39,-47.565821236000005,-47.565821236000005
Altinopolis,2016.0,10.0,Masculino,Manha,Colisao,Automovel,25-29,-47.34646043119571,-47.34646043119571
Altinopolis,2016.0,12.0,Masculino,Tarde,Colisao,Automovel,45-49,-47.518064,-47.518064
Aluminio,2017.0,2.0,Masculino,Tarde,Colisao,Motocicleta,25-29,-47.257311,-47.257311
Alvares Machado,2017.0,1.0,Masculino,ND,Atropelamento,Pedestre,75-79,-51.499193,-51.499193
Alvares Machado,2016.0,10.0,Feminino,ND,Choque,Automovel,60-64,-51.511520076000004,-51.511520076000004
