,  Município Acidente ,Ano,Mês,Sexo,Turno Acidente,Tipo de Acidente,Meio de Locomoção da Vítima,Faixa Etária,Latitude Acidente,Longitude Acidente
0, Aguai ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , AUTOMÓVEL , 55-59 , -22.027229 , -46.888793 
1, Aguas de Sao Pedro ,2016.0,8.0, MASCULINO , MADRUGADA , NÃO DISPONÍVEL , NÃO DISPONÍVEL , 25-29 , Não Disponível , Não Disponível 
2, Alvares Machado ,2016.0,8.0, MASCULINO , NOITE , OUTROS , BICICLETA , 65-69 , -22.080655 , -51.472495 
3, Americana ,2016.0,8.0, MASCULINO , NOITE , NÃO DISPONÍVEL , NÃO DISPONÍVEL , 25-29 , -22.715757 , -47.350602 
4, Americana ,2016.0,8.0, MASCULINO , TARDE , CHOQUE , MOTOCICLETA , 40-44 , -22.7545644607022 , -47.2678405644209 
5, Amparo ,2016.0,8.0, MASCULINO , MANHÃ , COLISÃO , CAMINHÃO , 30-34 , -22.5611789581495 , -46.7996392113826 
6, Amparo ,2016.0,8.0, MASCULINO , MANHÃ , COLISÃO , CAMINHÃO , 35-39 , -22.561176 , -46.799691 
7, Angatuba ,2016.0,8.0, MASCULINO , NOITE , NÃO DISPONÍVEL , MOTOCICLETA , 35-39 , Não Disponível , Não Disponível 
8, Aracariguama ,2016.0,8.0, MASCULINO , NOITE , ATROPELAMENTO , PEDESTRE , Não Disponível , -23.443143 , -47.108372 
9, Aracatuba ,2016.0,8.0, MASCULINO , MADRUGADA , ATROPELAMENTO , MOTOCICLETA , 30-34 , -21.1997854829194 , -50.4710032482603 
10, Aracatuba ,2016.0,8.0, MASCULINO , MANHÃ , COLISÃO , BICICLETA , 60-64 , -21.226124 , -50.457062 
11, Aracatuba ,2016.0,8.0, MASCULINO , MANHÃ , OUTROS , PEDESTRE , 40-44 , Não Disponível , Não Disponível 
12, Aracatuba ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , MOTOCICLETA , 50-54 , -21.224113 , -50.458049 
13, Aracoiaba da Serra ,2016.0,8.0, FEMININO , MANHÃ , COLISÃO , MOTOCICLETA , 30-34 , -23.513695 , -47.574724 
14, Aracoiaba da Serra ,2016.0,8.0, MASCULINO , MANHÃ , COLISÃO , MOTOCICLETA , 25-29 , -23.53090770659 , -47.6293710334254 
15, Aracoiaba da Serra ,2016.0,8.0, MASCULINO , NOITE , OUTROS , MOTOCICLETA , 25-29 , -23.5095528882051 , -47.5597680561099 
16, Araraquara ,2016.0,8.0, FEMININO , NÃO DISPONÍVEL , COLISÃO , AUTOMÓVEL , 50-54 , -21.679192 , -48.238784 
17, Araraquara ,2016.0,8.0, FEMININO , NÃO DISPONÍVEL , COLISÃO , AUTOMÓVEL , 80 ou mais , -21.679192 , -48.238784 
18, Araraquara ,2016.0,8.0, MASCULINO , MADRUGADA , ATROPELAMENTO , PEDESTRE , 18-24 , -21.817113 , -48.195739 
19, Araraquara ,2016.0,8.0, MASCULINO , MADRUGADA , ATROPELAMENTO , PEDESTRE , 18-24 , -21.792448 , -48.130650 
20, Araraquara ,2016.0,8.0, MASCULINO , NÃO DISPONÍVEL , COLISÃO , AUTOMÓVEL , 18-24 , -21.679192 , -48.238784 
21, Araras ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , MOTOCICLETA , 50-54 , -22.2749973417346 , -47.3920705548702 
22, Araras ,2016.0,8.0, MASCULINO , TARDE , CHOQUE , MOTOCICLETA , 18-24 , -22.3899 , -47.3934 
23, Araras ,2016.0,8.0, MASCULINO , TARDE , COLISÃO , MOTOCICLETA , 25-29 , -22.3804342366667 , -47.4168710353564 
