;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Munic¡pio Acidente ;Ano;Mˆs;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomo‡Æo da V¡tima;Faixa Et ria;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGUAI; AGUAI ;2017; 2 ; FEMININO ; TARDE ; COLISAO ; MOTOCICLETA ; 25-29 ; -22.066091 ; -46.978894 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUMINIO; ALUMINIO ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 25-29 ; -23.517351 ; -47.257311 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDRADINA; ANDRADINA ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 18-24 ; -20.888534 ; -51.371309 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDRADINA; ANDRADINA ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 40-44 ; -20.89581 ; -51.382692 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANGATUBA; ANGATUBA ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; OUTROS ; OUTROS ; 65-69 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANGATUBA; ANGATUBA ;2017; 2 ; MASCULINO ; NOITE ; NAO DISPONIVEL ; NAO DISPONIVEL ; 18-24 ; -23.5446032337703 ; -48.2611197275248 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARACATUBA; ARACATUBA ;2017; 2 ; MASCULINO ; MANHÇ ; NAO DISPONIVEL ; MOTOCICLETA ; 25-29 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARARAQUARA; ARARAQUARA ;2017; 2 ; FEMININO ; NOITE ; COLISAO ; BICICLETA ; 35-39 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARARAQUARA; ARARAQUARA ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 45-49 ; -21.7589566871479 ; -48.0743247149969 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARARAQUARA; ARARAQUARA ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 45-49 ; -21.7589566871479 ; -48.0743247149969 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARARAQUARA; ARARAQUARA ;2017; 2 ; MASCULINO ; TARDE ; CHOQUE ; BICICLETA ; 25-29 ; -21.798782 ; -48.187576 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARUJA; ARUJA ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 30-34 ; -23.3971459182262 ; -46.2928958335036 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ASSIS; ASSIS ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 55-59 ; -22.679711 ; -50.435395 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ATIBAIA; ATIBAIA ;2017; 2 ; MASCULINO ; MANHÇ ; CHOQUE ; MOTOCICLETA ; 25-29 ; -23.1020816584732 ; -46.5685501275838 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
