;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aguas da Prata; Aguas da Prata ;2016; 11 ; MASCULINO ; NOITE ; OUTROS ; MOTOCICLETA ; 18-24 ; -21.851494715 ; -46.685739497 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alvares Machado; Alvares Machado ;2016; 11 ; MASCULINO ; MANHÃ ; COLISÃO ; AUTOMÓVEL ; 18-24 ; -22.065604 ; -51.417015 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Americana; Americana ;2016; 11 ; FEMININO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 55-59 ; -22.7606132922589 ; -47.3348587085702 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Americana; Americana ;2016; 11 ; FEMININO ; MANHÃ ; Não Disponível ; Não Disponível ; 65-69 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amparo; Amparo ;2016; 11 ; FEMININO ; Não Disponível ; OUTROS ; BICICLETA ; 55-59 ; -22.704597 ; -46.751116 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amparo; Amparo ;2016; 11 ; MASCULINO ; NOITE ; ATROPELAMENTO ; MOTOCICLETA ; 45-49 ; -22.696621 ; -46.764278 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amparo; Amparo ;2016; 11 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; Não Disponível ; -22.7150503183052 ; -46.7731931467313 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amparo; Amparo ;2016; 11 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 25-29 ; -22.6628644542997 ; -46.896842485153 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amparo; Amparo ;2016; 11 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 30-34 ; -22.712001 ; -46.776358 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andradina; Andradina ;2016; 11 ; MASCULINO ; MANHÃ ; CHOQUE ; AUTOMÓVEL ; 30-34 ; -20.910641217386 ; -51.3413990959655 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apiai; Apiai ;2016; 11 ; MASCULINO ; TARDE ; OUTROS ; OUTROS ; 0-17 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aracariguama; Aracariguama ;2016; 11 ; MASCULINO ; NOITE ; CHOQUE ; MOTOCICLETA ; 25-29 ; -23.440457 ; -47.090188 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aracatuba; Aracatuba ;2016; 11 ; MASCULINO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; -21.172658 ; -50.467547 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araraquara; Araraquara ;2016; 11 ; MASCULINO ; MADRUGADA ; COLISÃO ; AUTOMÓVEL ; 18-24 ; -21.812966220 ; -48.158465311 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araraquara; Araraquara ;2016; 11 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 25-29 ; -21.773775446 ; -48.098675223 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araras; Araras ;2016; 11 ; MASCULINO ; MADRUGADA ; COLISÃO ; AUTOMÓVEL ; 0-17 ; -22.255800000 ; -47.390000000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Areiopolis; Areiopolis ;2016; 11 ; MASCULINO ; Não Disponível ; ATROPELAMENTO ; PEDESTRE ; 55-59 ; -22.680398 ; -48.669755 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ariranha; Ariranha ;2016; 11 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Artur Nogueira; Artur Nogueira ;2016; 11 ; MASCULINO ; MADRUGADA ; COLISÃO ; BICICLETA ; 35-39 ; -22.5194563458033 ; -47.1876644138566 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aruja; Aruja ;2016; 11 ; FEMININO ; MADRUGADA ; COLISÃO ; AUTOMÓVEL ; 18-24 ; -23.389123 ; -46.276587 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aruja; Aruja ;2016; 11 ; MASCULINO ; TARDE ; COLISÃO ; CAMINHÃO ; 40-44 ; -23.388014900502 ; -46.2740974793293 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Assis; Assis ;2016; 11 ; MASCULINO ; NOITE ; COLISÃO ; BICICLETA ; 50-54 ; -22.6558845398323 ; -50.3696740040675 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atibaia; Atibaia ;2016; 11 ; FEMININO ; NOITE ; CHOQUE ; AUTOMÓVEL ; 18-24 ; -23.0486406194299 ; -46.5646425383231 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
