;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agudos; Agudos ;2016; 10 ; MASCULINO ; MADRUGADA ; COLISÃO ; AUTOMÓVEL ; 30-34 ; -22.4205569030541 ; -49.0013756010528 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alambari; Alambari ;2016; 10 ; MASCULINO ; MADRUGADA ; COLISÃO ; AUTOMÓVEL ; 40-44 ; -23.577663 ; -47.829344 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altinopolis; Altinopolis ;2016; 10 ; MASCULINO ; MANHÃ ; COLISÃO ; AUTOMÓVEL ; 25-29 ; -21.0167427851126 ; -47.3464604311957 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alvares Machado; Alvares Machado ;2016; 10 ; FEMININO ; NÃO DISPONÍVEL ; CHOQUE ; AUTOMÓVEL ; 60-64 ; -22.072811150 ; -51.511520076 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Americo Brasiliense; Americo Brasiliense ;2016; 10 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; Não Disponível ; -21.699558 ; -48.002640 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amparo; Amparo ;2016; 10 ; MASCULINO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 25-29 ; -22.7295137851933 ; -46.7643341123695 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amparo; Amparo ;2016; 10 ; MASCULINO ; TARDE ; OUTROS ; MOTOCICLETA ; 50-54 ; -22.7756554928117 ; -46.7638909517344 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andradina; Andradina ;2016; 10 ; FEMININO ; MANHÃ ; CHOQUE ; MOTOCICLETA ; 25-29 ; -20.907185 ; -51.378217 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andradina; Andradina ;2016; 10 ; MASCULINO ; MANHÃ ; CHOQUE ; MOTOCICLETA ; 30-34 ; -20.957566 ; -51.328785 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andradina; Andradina ;2016; 10 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 50-54 ; -20.777982 ; -51.400577 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angatuba; Angatuba ;2016; 10 ; MASCULINO ; TARDE ; COLISÃO ; CAMINHÃO ; 30-34 ; -23.5319881233998 ; -48.3444295997325 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aparecida; Aparecida ;2016; 10 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 18-24 ; -22.833213 ; -45.216982 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aparecida; Aparecida ;2016; 10 ; MASCULINO ; NÃO DISPONÍVEL ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -22.8725585149961 ; -45.2503284639613 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aracatuba; Aracatuba ;2016; 10 ; MASCULINO ; MANHÃ ; NÃO DISPONÍVEL ; MOTOCICLETA ; 25-29 ; -21.238954523 ; -50.437528818 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arapei; Arapei ;2016; 10 ; MASCULINO ; TARDE ; CHOQUE ; AUTOMÓVEL ; 18-24 ; -22.671964 ; -44.447728 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araraquara; Araraquara ;2016; 10 ; FEMININO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 18-24 ; -21.748626 ; -48.183800 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
