;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MAR / 2017;TOTAL;SEXO DA VÍTIMA;;;FAIXA ETÁRIA DA VÍTIMA;;;;;;;;;;;;;;;MEIO DE LOCOMOÇÃO DA VÍTIMA;;;;;;;;TIPO DE ACIDENTE;;;;; INFORMAÇÕES DO MUNICÍPIO ;;;
;  Município Acidente ;Óbitos;FEMININO;MASCULINO;Nao Disponivel;0-17;18-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80 ou mais;Nao Disponivel;AUTOMOVEL;BICICLETA;CAMINHAO;MOTOCICLETA;ONIBUS;PEDESTRE;OUTROS;Nao Disponivel;ATROPELAMENTO;CHOQUE;COLISAO;OUTROS;Nao Disponivel;  População  ;  Região Administrativa ;;
Sao Paulo; Sao Paulo ;87; 18 ; 69 ; -   ; 5 ; 17 ; 6 ; 3 ; 6 ; 4 ; 8 ; 7 ; 2 ; 4 ; 7 ; 4 ; 6 ; 3 ; 5 ; 6 ; 4 ; -   ; 27 ; 6 ; 43 ; -   ; 1 ; 42 ; 9 ; 25 ; 7 ; 4 ; 11,696,088 ;  Metropolitana de São Paulo  ;;
Guarulhos; Guarulhos ;7; 2 ; 5 ; -   ; -   ; 1 ; -   ; 2 ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; 2 ; -   ; -   ; 1 ; -   ; -   ; 2 ; -   ; 4 ; -   ; -   ; 4 ; 1 ; 2 ; -   ; -   ; 1,313,169 ;  Metropolitana de São Paulo  ;;
Campinas; Campinas ;8; 2 ; 6 ; -   ; -   ; 1 ; 1 ; -   ; -   ; 2 ; -   ; 2 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 5 ; -   ; 2 ; 5 ; 1 ; 1 ; -   ; 1 ; 1,150,753 ;  Campinas  ;;
Sao Bernardo do Campo; Sao Bernardo do Campo ;6; 3 ; 3 ; -   ; -   ; 1 ; 2 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 2 ; -   ; -   ; 3 ; -   ; 1 ; -   ; -   ; 1 ; -   ; 5 ; -   ; -   ; 799,645 ;  Metropolitana de São Paulo  ;;
Santo Andre; Santo Andre ;4; -   ; 4 ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; 2 ; -   ; 1 ; 2 ; 1 ; -   ; -   ; 1 ; 688,899 ;  Metropolitana de São Paulo  ;;
Sao Jose dos Campos; Sao Jose dos Campos ;2; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; 687,544 ;  São José dos Campos  ;;
Osasco; Osasco ;7; 1 ; 6 ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; 2 ; 1 ; 1 ; 2 ; -   ; -   ; 1 ; -   ; 4 ; -   ; -   ; 4 ; 2 ; 1 ; -   ; -   ; 676,149 ;  Metropolitana de São Paulo  ;;
Ribeirao Preto; Ribeirao Preto ;7; 1 ; 6 ; -   ; -   ; 1 ; 1 ; 1 ; 2 ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 3 ; -   ; 3 ; -   ; -   ; 3 ; 1 ; 2 ; -   ; 1 ; 661,997 ;  Ribeirão Preto  ;;
Sorocaba; Sorocaba ;10; 3 ; 7 ; -   ; -   ; -   ; 4 ; -   ; 2 ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; 1 ; -   ; 1 ; -   ; -   ; 4 ; 1 ; 4 ; -   ; -   ; 3 ; 2 ; 5 ; -   ; -   ; 637,436 ;  Sorocaba  ;;
