@relation MPST

@attribute cidade {Aguas-de-Lindoia,Aguai,Aguapei,Aguas-de-Sao-Pedro,Aracoiaba-da-Serra,Aruja,Santa-Cruz-da-Conceicao,Tanabi,Taiuva,Presidente-Venceslau,Sandoval,Riolandia,Restinga,Colina,Pereira-Barreto,Perdeneiras,Oridiuva,Oriente,Nova-Independencia,Jumirim,Julio-Mesquita,Joanopolis,Ituverava,Itapirapua-Paulista,Igarata,Guaiacu,Estrela-do-Norte,Floreal,Cosmororama,Brauna,Canas,Cananeira,Campos-Novos-Paulistas,Buritizal,Avanhamdava,Aramina,Analandia,Valparaiso,Ubarana,Titui,Tiacu,Sao-Sebastiao-da-Grama,Santa-Maria-a-Serra,Salto-Grande,Rafard,Piacatu,Panorama,Pedreira,Monte-Azul-Paulista,Lagoinha,Itatinga,Guararapes,Guaraci,General-Salgado,Clementina,Dobrada,Capela-do-Alto,Mirassolandia,Aluminio,Uchoa,Rincao,Ribeira,Pontes-Gestal,Pontal,Paulinia,Pardinho,Paraiso,Osvaldo-Cruz,Onda-Verde,Ipeuna,Mirandopolis,Lucelia,Jacupiranga,Ipigua,Bocaina,Guzolandia,Cedral,Guarei,Castilho,Garca,Cabreuva,Cristais-Paulista,Barra-do-Chapeu,Avanhandava,Aparecida-D-Oeste,Tuiuti,Vargem-Grande-do-Sul,Santa-Lucia,Santa-Cruz-das-Palmeiras,Roseira,Ribeirao-Branco,Rancharia,Presidente-Bernardes,Piraju,Piracaia,Pinhalzinho,Ouroeste,Nova-Europa,Morro-Agudo,Jaci,Itapui,Itanhanhem,Icem,Descalvado,Areiopolis,Cafelandia,Aguas-da-Prata,Zacarias,Valentim-Gentil,Urupes,Tremembe,Tapiratiba,Tambau,Taciba,Sarapui,Sao-Jose-do-Barreiro,Santo-Antonio-de-Posse,Santa-Ernestina,Rosana,Pongai,Poa,Pitangueiras,Piratininga,Pirapozinho,Pedro-de-Toledo,Pedra-Bela,Orlandia,Novo-Horizonte,Neves-Paulista,Natividade-da-Serra,Luis-Antonio,Lencois,Itajobi,Lencois-Paulista,Irapua,Ilhabela,Ilha-Comprida,Ibitinga,Ibira,Flora-Rica,Fernando-Prestes,Eldorado,Sandovalina,Barao-de-Antonina,Cristais,Barra-do-Turvo,Cosmorama,Sao-Roque,Arealva,Arapei,Americo-Brasiliense,Altinopolis,Alambari,Agudos,Vista-Alegre-do-Alto,Viradouro,Vinhedo,Varzea-Paulista,Vargem,Turmalina,Torrinha,Sarutaia,Sao-Miguel-Arcanjo,Sao-Pedro-do-Turvo,Sao-Luis-do-Paraitinga,Estiva-Gerbi,Sao-Joao-da-Boa-Vista,Sao-Bento-do-Sapucai,Santo-Antonio-do-Jardim,Santo-Antonio-da-Alegria,Louveira,Salesopolis,Rio-das-Pedras,Pradopolis,Porto-Feliz,Poloni,Pirangi,Pindorama,Piedade,Peruibe,Pederneiras,Pauliceia,Paranapanema,Oleo,Palmeira-d-Oeste,Nuporanga,Nova-Granada,Monte-Alto,Mongagua,Miguelopolis,Mesopolis,Matao,Macedonia,Itapeva,Lavrinhas,Jarinu,Itobi,Jardinopolis,Itupeva,Jales,Itapolis,Avare,Itapetininga,Irapuru,Iracemapolis,Herculandia,Ipero,Guariba,Guararema,Guarani-d-Oeste,Barbosa,Guapiacu,Guaira,Guaimbe,Gaviao-Peixoto,Biritiba,Estiva,Coroados,Conchas,Charqueada,Carapicuiba,Buri,Candido-Rodrigues,Cajamar,Cachoeira-Paulista,Boa-Esperanca-do-Sul,Biritiba-Mirim,Guara,Apiai,Mirassol,Aparecida,Timburi,Votuporanga,Urania,Ubatuba,Tres-Fronteiras,Tiete,Tejupa,Tatui,Tarabai,Taboao-da-Serra,Taquaral,Suzano,Socorro,Silveiras,Sete-Barras,Sertaozinho,Serrana,Santa-Gertrudes,Sao-Lourenco-da-Serra,Sao-Jose-dos-Campos,Santa-Fe-do-Sul,Saltinho,Sales-Oliveira,Pratania,Sagres,Rinopolis,Porto-Ferreira,Ribeirao-Bonito,Porangaba,Pompeia,Pirapora-do-Bom-Jesus,Penapolis,Pedregulho,Patrocinio-Paulista,Pariquera-Acu,Palestina,Nova-Odessa,Nova-Alianca,Mirante-do-Paranapanema,Nipoa,Macatuba,Marapoama,Mendonca,Itariri,Itatiba,Lorena,Lindoia,Jose-Bonifacio,Lavinia,Leme,Cesario-Lange,Itapura,Itaporanga,Itapevi,Itapecerica-da-Serra,Ipaussu,Guapiara,Indiana,Ilha-Solteira,Iguape,Igarapava,Ferraz-de-Vasconcelos,Dracena,Espirito-Santo-do-Pinhal,Echapora,Cubatao,Duartina,Cordeiropolis,Ariranha,Casa-Branca,Brotas,Cajati,Capivari,Barra-Bonita,Candido-Mota,Campo-Limpo-Paulista,Alvares-Machado,Angatuba,Americana,Amparo,Andradina,Aracatuba,Araraquara,Balsamo,Aracariguama,Araras,Artur-Nogueira,Assis,Atibaia,Bariri,Barretos,Barueri,Araçariguama,Bananal,Bastos,Batatais,Bauru,Bebedouro,Bertioga,Birigui,Boituva,Bady-Bassitt,Bom-Jesus-dos-Perdoes,Borborema,Botucatu,Braganca-Paulista,Buritama,Cacapava,Caieiras,Caiua,Cajuru,Campinas,Campos-do-Jordao,Capao-Bonito,Caraguatatuba,Catanduva,Catigua,Cerqueira-Cesar,Cerquilho,Cosmopolis,Cotia,Cravinhos,Cruzeiro,Cunha,Diadema,Dumont,Embauba,Embu-das-Artes,Embu-Guacu,Euclides-da-Cunha-P,Fartura,Fernandopolis,Franca,Francisco-Morato,Franco-da-Rocha,Guaratingueta,Guaruja,Guarulhos,Hortolandia,Iacanga,Iaras,Ibate,Ibiuna,Indaiatuba,Ipua,Itabera,Itai,Itanhaem,Itapira,Itaquaquecetuba,Itarare,Itirapina,Itu,Jaboticabal,Jacarei,Jaguariuna,Jandira,Jau,Juquia,Maua,Mogi-das-Cruzes,Mogi-Guacu,Joao-Ramalho,Jundiai,Juquitiba,Limeira,Lins,Mairinque,Mairipora,Manduri,Marilia,MartinopolisMaua,Meridiano,Mineiros-do-Tiete,Miracatu,Mococa,Mogi-Mirim,Monte-Aprazivel,Monte-Mor,Martinopolis,Nazare-Paulista,Olimpia,Osasco,Ourinhos,Palmares-Paulista,Palmital,Paraguacu-Paulista,Pereiras,Pilar-do-Sul,Pindamonhangaba,Piracicaba,Pirassununga,Praia-Grande,Presidente-Epitacio,Reginopolis,Registro,Ribeirao-Pires,Ribeirao-Preto,Rio-Claro,Salto,Salto-de-Pirapora,Santa-Barbara-d-Oeste,Santa-Cruz-da-Conceica,Santa-Cruz-do-Rio-Pard,Santa-Isabel,Santa-R-do-Passa-Q,Santana-de-Parnaiba,Santo-Anastacio,Santo-Andre,Santopolis-do-Aguapei,Santos,Sao-Bento-do-Sapuca,Sao-Bernardo-do-Campo,Sao-Caetano-do-Sul,Sao-Carlos,Sao-Joaquim-da-Barra,Sao-Jose-do-Rio-Pardo,Sao-Jose-do-Rio-Preto,Sao-Manuel,Sao-Paulo,Sao-Pedro,Sao-Sebastiao,Sao-Simao,Sao-Vicente,Serra-Negra,Severinia,Sorocaba,Sud-Mennucci,Sumare,Tabatinga,Tapirai,Taquaritinga,Taquarituba,Taubate,Teodoro-Sampaio,Tupa,Queluz,Presidente-Prudente,Promissao,Valinhos,Vargem-Grande-Paulista,Votorantim,Zacaria}
@attribute Ano {2016,2017}
@attribute Mes {1,2,3,8,9,10,11,12}
@attribute Sexo {MASCULINO,FEMININO, 99999}
@attribute Peirodo {MANHA,TARDE,NOITE,MADRU,99999}
@attribute Tip.Acid {COLISAO,ATROPELAMENTO,CHOQUE,OUTROS,99999}
@attribute Locomacao {MOTOCICLETA,PEDESTRE,AUTOMOVEL,BICICLETA,CAMINHAO,ONIBUS,OUTROS,99999}
@attribute Faixa {17,20, 27, 32, 37, 42, 47, 52, 57, 62, 67, 72, 77, 80, 99999}
@attribute Latitude numeric
@attribute Longitude numeric

@data
Aguai,2016,8,MASCULINO,NOITE,COLISAO,AUTOMOVEL,57,-22.027229,-46.888793 
Aguas-de-Sao-Pedro,2016,8,MASCULINO,MADRU,99999,99999,27,99999,99999 
Alvares-Machado,2016,8,MASCULINO,NOITE,OUTROS,BICICLETA,67,-22.080655,-51.472495 
Americana,2016,8,MASCULINO,NOITE,99999,99999,27,-22.715757,-47.350602 
Americana,2016,8,MASCULINO,TARDE,CHOQUE,MOTOCICLETA,42,-22.7545644607022,-47.2678405644209 
Amparo,2016,8,MASCULINO,MANHA,COLISAO,CAMINHAO,32,-22.5611789581495,-46.7996392113826 
Amparo,2016,8,MASCULINO,MANHA,COLISAO,CAMINHAO,37,-22.561176,-46.799691 
Angatuba,2016,8,MASCULINO,NOITE,99999,MOTOCICLETA,37,99999,99999 
Aracariguama,2016,8,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,99999,-23.443143,-47.108372 
Aracatuba,2016,8,MASCULINO,MADRU,ATROPELAMENTO,MOTOCICLETA,32,-21.1997854829194,-50.4710032482603 
Aracatuba,2016,8,MASCULINO,MANHA,COLISAO,BICICLETA,62,-21.226124,-50.457062 
Aracatuba,2016,8,MASCULINO,MANHA,OUTROS,PEDESTRE,42,99999,99999 
Aracatuba,2016,8,MASCULINO,NOITE,COLISAO,MOTOCICLETA,52,-21.224113,-50.458049 
Aracoiaba-da-Serra,2016,8,FEMININO,MANHA,COLISAO,MOTOCICLETA,32,-23.513695,-47.574724 
Aracoiaba-da-Serra,2016,8,MASCULINO,MANHA,COLISAO,MOTOCICLETA,27,-23.53090770659,-47.6293710334254 
Aracoiaba-da-Serra,2016,8,MASCULINO,NOITE,OUTROS,MOTOCICLETA,27,-23.5095528882051,-47.5597680561099 
Araraquara,2016,8,FEMININO,99999,COLISAO,AUTOMOVEL,52,-21.679192,-48.238784 
Araraquara,2016,8,FEMININO,99999,COLISAO,AUTOMOVEL,80,-21.679192,-48.238784 
Araraquara,2016,8,MASCULINO,MADRU,ATROPELAMENTO,PEDESTRE,20,-21.817113,-48.195739 
Araraquara,2016,8,MASCULINO,MADRU,ATROPELAMENTO,PEDESTRE,20,-21.792448,-48.130650 
Araraquara,2016,8,MASCULINO,99999,COLISAO,AUTOMOVEL,20,-21.679192,-48.238784 
Araras,2016,8,MASCULINO,NOITE,COLISAO,MOTOCICLETA,52,-22.2749973417346,-47.3920705548702 
Araras,2016,8,MASCULINO,TARDE,CHOQUE,MOTOCICLETA,20,-22.3899,-47.3934 
Araras,2016,8,MASCULINO,TARDE,COLISAO,MOTOCICLETA,27,-22.3804342366667,-47.4168710353564 
Ariranha,2016,8,FEMININO,MANHA,CHOQUE,99999,42,-21.146321,-48.750563 
Aruja,2016,8,MASCULINO,NOITE,CHOQUE,AUTOMOVEL,72,-23.384164,-46.328243 
Atibaia,2016,8,MASCULINO,MADRU,ATROPELAMENTO,PEDESTRE,47,-23.1006399229619,-46.6062042504624 
Atibaia,2016,8,MASCULINO,TARDE,OUTROS,AUTOMOVEL,67,-23.063423,-46.570762 
Bady-Bassitt,2016,8,MASCULINO,MADRU,CHOQUE,MOTOCICLETA,20,-20.930811,-49.454539 
Balsamo,2016,8,MASCULINO,TARDE,CHOQUE,MOTOCICLETA,52,-20.650586,-49.619483 
Bananal,2016,8,FEMININO,NOITE,ATROPELAMENTO,PEDESTRE,42,-22.670229972294,-44.1963774972256 
Barra-Bonita,2016,8,MASCULINO,NOITE,COLISAO,AUTOMOVEL,47,-22.486722,-48.542167 
Barretos,2016,8,FEMININO,MANHA,COLISAO,MOTOCICLETA,20,-20.555943,-48.567499 
Barretos,2016,8,99999,MANHA,99999,MOTOCICLETA,99999,-20.533834,-48.625621 
Barueri,2016,8,FEMININO,TARDE,ATROPELAMENTO,PEDESTRE,17,-23.5161246207135,-46.8973907794742 
Barueri,2016,8,MASCULINO,MANHA,OUTROS,BICICLETA,42,99999,99999 
Barueri,2016,8,MASCULINO,NOITE,OUTROS,MOTOCICLETA,20,-23.528938,-46.888192 
Barueri,2016,8,MASCULINO,TARDE,COLISAO,CAMINHAO,37,-23.509920,-46.815209 
Batatais,2016,8,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,47,-20.9191362957123,-47.6231017495656 
Bauru,2016,8,FEMININO,NOITE,ATROPELAMENTO,PEDESTRE,47,-22.320014,-49.068525 
Bauru,2016,8,MASCULINO,MADRU,ATROPELAMENTO,PEDESTRE,99999,-22.3409528211965,-49.0220132758434 
Bauru,2016,8,MASCULINO,NOITE,ATROPELAMENTO,MOTOCICLETA,52,22.3199926025249,-49.003523237195 
Bauru,2016,8,MASCULINO,NOITE,COLISAO,MOTOCICLETA,32,-22.320680,-49.040269 
Bauru,2016,8,MASCULINO,TARDE,OUTROS,MOTOCICLETA,47,-22.325640,-49.019341 
Bebedouro,2016,8,MASCULINO,NOITE,CHOQUE,MOTOCICLETA,20,-20.9606,-48.468136 
Bertioga,2016,8,MASCULINO,TARDE,COLISAO,MOTOCICLETA,20,-23.8142398910917,-46.1095470451437 
Birigui,2016,8,MASCULINO,NOITE,COLISAO,AUTOMOVEL,32,-21.284355,-50.370279 
Birigui,2016,8,MASCULINO,NOITE,COLISAO,AUTOMOVEL,37,-21.3969336,-50.3502651 
Botucatu,2016,8,MASCULINO,MADRU,OUTROS,MOTOCICLETA,42,-22.874059,-48.476949 
Braganca-Paulista,2016,8,MASCULINO,NOITE,CHOQUE,AUTOMOVEL,57,-22.925323,-46.536883 
Braganca-Paulista,2016,8,MASCULINO,NOITE,COLISAO,AUTOMOVEL,42,-22.9406265315288,-46.4739259825774 
Braganca-Paulista,2016,8,MASCULINO,NOITE,COLISAO,MOTOCICLETA,32,-22.950810,-46.599269 
Brotas,2016,8,MASCULINO,NOITE,COLISAO,AUTOMOVEL,37,-22.24876,-48.2896 
Buritama,2016,8,MASCULINO,MADRU,ATROPELAMENTO,PEDESTRE,37,-21.066844,-50.138633 
Caieiras,2016,8,FEMININO,MANHA,CHOQUE,AUTOMOVEL,52,23.349081338,-46.7551452399999 
Cajati,2016,8,MASCULINO,MADRU,CHOQUE,CAMINHAO,32,-24.864037,-48.212859 
Cajati,2016,8,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,62,-24.773694624262,-48.1707896670737 
Cajuru,2016,8,MASCULINO,NOITE,OUTROS,AUTOMOVEL,57,-21.423973,-47.325645 
Campinas,2016,8,FEMININO,MADRU,CHOQUE,AUTOMOVEL,27,-22.822512,-47.096933 
Campinas,2016,8,FEMININO,TARDE,ATROPELAMENTO,PEDESTRE,32,-22.900797,-47.058179 
Campinas,2016,8,MASCULINO,MADRU,ATROPELAMENTO,PEDESTRE,57,-22.843965443,-47.038250373 
Campinas,2016,8,MASCULINO,MANHA,ATROPELAMENTO,PEDESTRE,77,-22.899899670259,-47.101244754075 
Campinas,2016,8,MASCULINO,99999,ATROPELAMENTO,PEDESTRE,47,-22.8955869353107,-47.007399907432 
Campinas,2016,8,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,32,-22.966363,-47.131107 
Campinas,2016,8,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,37,-22.854731334,-47.152051027 
Campinas,2016,8,MASCULINO,NOITE,COLISAO,MOTOCICLETA,20,-22.84909,-47.037925 
Campinas,2016,8,MASCULINO,NOITE,COLISAO,MOTOCICLETA,27,-22.873948098,-47.069856495 
Campinas,2016,8,MASCULINO,NOITE,99999,MOTOCICLETA,42,-22.962253,-47.130113 
Campinas,2016,8,MASCULINO,NOITE,OUTROS,MOTOCICLETA,52,22.856805,-47.148633 
Campinas,2016,8,MASCULINO,TARDE,CHOQUE,AUTOMOVEL,52,22.7963622942128,-47.0321516364052 
Campo-Limpo-Paulista,2016,8,MASCULINO,TARDE,COLISAO,MOTOCICLETA,37,-23.236402326,-46.764726315 
