,Município Acidente,Ano,Mês,Sexo,Turno Acidente,Tipo de Acidente,Meio de Locomoção da Vítima,Faixa Etária,Latitude Acidente,Longitude Acidente
0,Aguai,2016,12,Masculino,Madrugada,Atropelamento,Pedestre,25-29,-22.0718932128,-46.9806802303
1,Aguai,2016,12,Masculino,Madrugada,Choque,Automóvel,55-59,-22.0700309518,-47.0205842999
2,Aguai,2016,12,Feminino,Noite,Atropelamento,Pedestre,75-79,Não Disponível,Não Disponível 
3,Aguai,2017,2,Feminino,Tarde,Colisao,Motocicleta,25-29,-22.066091,-46.978894
4,Aguas De Lindoia,2017,1,Masculino,Não Disponível,Colisão,Automóvel,18-24,-22.4610541928,-46.5921675127
5,Aguas De Lindoia,2017,1,Masculino,Manhã,Colisão,Motocicleta,35-39,-22.478553,-46.635755
6,Agudos,2017,3,Feminino,Noite,Outros,Motocicleta,18-24,-22.415350483,-49.005161188
7,Altinopolis,2016,12,Masculino,Tarde,Colisão,Automóvel,45-49,-21.099888,-47.518064
8,Altinopolis,2017,3,Masculino,Noite,Outros,Motocicleta,35-39,-21.13371519,-47.565821236
9,Aluminio,2017,2,Masculino,Tarde,Colisao,Motocicleta,25-29,-23.517351,-47.257311
10,Alvares Machado,2016,12,Masculino,Noite,Atropelamento,Pedestre,30-34,-22.0825409609,-51.4512649556
11,Alvares Machado,2017,1,Masculino,Não Disponível,Atropelamento,Pedestre,75-79,-22.072623,-51.499193
12,Americana,2016,12,Masculino,Madrugada,Colisão,Motocicleta,18-24,-22.731705,-47.306719
13,Americana,2016,12,Masculino,Tarde,Colisão,Motocicleta,25-29,-22.738734,-47.314535
14,Americana,2016,12,Masculino,Manhã,Colisão,Motocicleta,45-49,-22.734138,-47.331921
15,Americana,2017,1,Feminino,Tarde,Colisão,Motocicleta,40-44,-22.7585390704,-47.3156216461
16,Americana,2017,3,Masculino,Manha,Colisao,Caminhao,45-49,-22.7585390704,-47.3156216461
17,Americana,2017,3,Masculino,Tarde,Colisao,Motocicleta,50-54,-22.774802,-47.345654
18,Americana,2017,3,Feminino,Tarde,Atropelamento,Pedestre,80 Ou Mais,-22.70446,-47.293229
19,Amparo,2016,12,Feminino,Noite,Colisão,Automóvel,35-39,-22.7113744914,-46.8253508011
20,Amparo,2016,12,Masculino,Noite,Colisão,Automóvel,40-44,-22.7113744914,-46.8253508011
21,Amparo,2016,12,Feminino,Manhã,Atropelamento,Pedestre,70-74,-22.699784,-46.769663
22,Amparo,2017,1,Masculino,Tarde,Colisão,Motocicleta,30-34,-22.6368014475,-46.8027202129
23,Amparo,2017,1,Masculino,Tarde,Não Disponível,Não Disponível,70-74,-22.721048277,-46.785223535
24,Amparo,2017,3,Masculino,Tarde,Outros,Motocicleta,30-34,-22.7113744914,-46.8253508011
25,Amparo,2017,3,Masculino,Noite,Colisao,Motocicleta,40-44,-22.691851254,-46.725560845
26,Analandia,2017,3,Masculino,Manha,Choque,Motocicleta,35-39,-22.1348196167,-47.6568414688
27,Andradina,2017,1,Masculino,Madrugada,Colisão,Motocicleta,18-24,-20.865109877,-51.4158362236
28,Andradina,2017,2,Masculino,Noite,Colisao,Motocicleta,18-24,-20.888534,-51.371309
29,Andradina,2017,2,Masculino,Noite,Colisao,Motocicleta,40-44,-20.89581,-51.382692
30,Andradina,2017,3,Masculino,Madrugada,Colisao,Bicicleta,18-24,-20.8755122554,-51.3882495995
31,Andradina,2017,3,Masculino,Noite,Colisao,Motocicleta,18-24,-20.8789489146,-51.3790399858
32,Angatuba,2016,12,Masculino,Tarde,Choque,Automóvel,18-24,-23.488161,-48.414204
33,Angatuba,2017,2,Masculino,Noite,Nao Disponivel,Nao Disponivel,18-24,-23.5446032338,-48.2611197275
34,Angatuba,2017,2,Masculino,Não Disponível,Outros,Outros,65-69,Não Disponível,Não Disponível
35,Aparecida D'Oeste,2016,12,Masculino,Não Disponível,Outros,Motocicleta,18-24,-20.4584738465,-50.8678935474
36,Aracariguama,2017,1,Masculino,Madrugada,Atropelamento,Pedestre,40-44,-23.4368590224,-47.09694921
37,Aracatuba,2016,12,Masculino,Noite,Outros,Motocicleta,30-34,-21.213771,-50.473861
38,Aracatuba,2016,12,Feminino,Tarde,Colisão,Motocicleta,40-44,-21.158238,-50.451139
39,Aracatuba,2017,1,Feminino,Noite,Colisão,Automóvel,55-59,-21.1995572154,-50.5681113686
40,Aracatuba,2017,2,Masculino,Manhã,Nao Disponivel,Motocicleta,25-29,Não Disponível,Não Disponível
41,Aracatuba,2017,3,Masculino,Madrugada,Colisao,Motocicleta,18-24,-21.175026,-50.443756
42,Aracatuba,2017,3,Masculino,Noite,Colisao,Bicicleta,35-39,-21.214766,-50.423798
43,Aracoiaba Da Serra,2016,12,Masculino,Noite,Não Especificado,Motocicleta,18-24,-23.522083562,-47.6128153905
44,Aracoiaba Da Serra,2016,12,Masculino,Tarde,Colisão,Motocicleta,18-24,-23.574326,-47.604285
45,Aracoiaba Da Serra,2017,3,Feminino,Madrugada,Outros,Motocicleta,0-17,-23.5386957187,-47.7119819165
46,Aracoiaba Da Serra,2017,3,Masculino,Tarde,Nao Disponivel,Caminhao,55-59,-23.5309077066,-47.6293710334
47,Aramina,2017,3,Masculino,Noite,Colisao,Automovel,50-54,-20.067599306,-47.788551787
48,Araraquara,2016,12,Feminino,Tarde,Não Especificado,Não Especificado,30-34,-21.70954,-48.31452
